city,station_ids,station_names
Gaya,"['site_159', 'site_5548', 'site_5338']","['Collectorate, Gaya - BSPCB', 'Kareemganj, Gaya - BSPCB', 'SFTI Kusdihra, Gaya - BSPCB']"
Bhagalpur,"['site_5543', 'site_5541']","['DM Office_Kachari Chowk, Bhagalpur - BSPCB', 'Mayaganj, Bhagalpur - BSPCB']"
Baddi,['site_5586'],"['HIMUDA Complex Phase-1, Baddi - HPPCB']"
Moradabad,"['site_5554', 'site_5556', 'site_5537', 'site_5555', 'site_5620', 'site_1398', 'site_5613']","['Buddhi Vihar, Moradabad - UPPCB', 'Eco Herbal Park, Moradabad - UPPCB', 'Employment Office, Moradabad - UPPCB', 'Jigar Colony, Moradabad - UPPCB', 'Kashiram Nagar, Moradabad - UPPCB', 'Lajpat Nagar, Moradabad - UPPCB', 'Transport Nagar, Moradabad - UPPCB']"
Ariyalur,['site_5606'],"['Keelapalur, Ariyalur - TNPCB']"
Bhilai,"['site_5660', 'site_5536', 'site_5659']","['32Bungalows, Bhilai - CECB', 'Civic Center, Bhilai - Bhilai Steel Plant', 'Hathkhoj, Bhilai - CECB']"
Kalaburagi,"['site_1565', 'site_5679']","['Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB', 'Mahatma Basaveswar Colony, Kalaburgi - KSPCB']"
Faridabad,"['site_5340', 'site_5342', 'site_5341', 'site_263']","['New Industrial Town, Faridabad - HSPCB', 'Sector 11, Faridabad - HSPCB', 'Sector 30, Faridabad - HSPCB', 'Sector- 16A, Faridabad - HSPCB']"
Prayagraj,"['site_5461', 'site_5459', 'site_5484']","['Jhunsi, Prayagraj - UPPCB', 'Motilal Nehru NIT, Prayagraj - UPPCB', 'Nagar Nigam, Prayagraj - UPPCB']"
Ahmedabad,"['site_5453', 'site_5450', 'site_308', 'site_5452', 'site_5451', 'site_5454', 'site_5455', 'site_5456', 'site_5449']","['Chandkheda, Ahmedabad - IITM', 'Gyaspur, Ahmedabad - IITM', 'Maninagar, Ahmedabad - GPCB', 'Raikhad, Ahmedabad - IITM', 'Rakhial, Ahmedabad - IITM', 'SAC ISRO Bopal, Ahmedabad - IITM', 'SAC ISRO Satellite, Ahmedabad - IITM', 'SVPI Airport Hansol, Ahmedabad - IITM', 'Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM']"
Madikeri,['site_5391'],"['Stuart Hill, Madikeri - KSPCB']"
Pune,"['site_5405', 'site_5406', 'site_5407', 'site_292', 'site_5766', 'site_5410', 'site_5404', 'site_5409', 'site_5767', 'site_5408']","['Alandi, Pune - IITM', 'Bhosari, Pune - IITM', 'Hadapsar, Pune - IITM', 'Karve Road, Pune - MPCB', 'Katraj Dairy, Pune - MPCB', 'MIT-Kothrud, Pune - IITM', 'Mhada Colony, Pune - IITM', 'Revenue Colony-Shivajinagar, Pune - IITM', 'Savitribai Phule Pune University, Pune - MPCB', 'Transport Nagar-Nigdi, Pune - IITM']"
